stop_id,stop_code,stop_name,stop_desc,latitude,longitude,zone_id,parent_station,level_name,geometry_point,,
5192,5192,169 Street & 87 Avenue,,53.518917,-113.610964,1EDM,,Ground Level,POINT (-113.610964 53.518917),,
ODT-6229,6229,104 Street & 178A Avenue,Edmonton Transit On-Demand Stop,53.642466,-113.500418,1EDM,,Ground Level,POINT (-113.500418 53.642466),,
S7532,7532,Stop at Sandstone Park,,53.565977,-113.251928,4SCT,,Ground Level,POINT (-113.251928 53.565977),,
L0342,342,13 Street & Spine Road,,53.386658,-113.501384,9LT,,Ground Level,POINT (-113.501384 53.386658),,
2333,2333,77 Street & 95 Avenue,,53.533564,-113.44735,1EDM,,Ground Level,POINT (-113.44735 53.533564),,
ODT-22344,22344,62 Street & 104 Avenue,Edmonton Transit On-Demand Stop,53.546749,-113.427632,1EDM,,Ground Level,POINT (-113.427632 53.546749),,
1001,1001,Abbottsfield Transit Centre Bay A,,53.571965,-113.390362,1EDM,,Ground Level,POINT (-113.390362 53.571965),,
7494,7494,78 Street & 157 Avenue,,53.618035,-113.462422,1EDM,,Ground Level,POINT (-113.462422 53.618035),,
2751,2751,50 Street & 55 Avenue,,53.492277,-113.418023,1EDM,,Ground Level,POINT (-113.418023 53.492277),,
S8107,8107,Bethel Dr & Bethel Wy,,53.545836,-113.302143,4SCT,,Ground Level,POINT (-113.302143 53.545836),,
4658,4658,156 Street & Simpson Place,,53.438061,-113.589956,1EDM,,Ground Level,POINT (-113.589956 53.438061),,
8954,8954,172 Street & 105 Avenue,,53.548132,-113.617977,1EDM,,Ground Level,POINT (-113.617977 53.548132),,
L0154,154,43 Street & 81 Street,,53.303008,-113.537358,9LT,,Ground Level,POINT (-113.537358 53.303008),,
E52,E52,,,53.54095,-113.493548,,Q3619,Concourse Level,POINT (-113.493548 53.54095),,
2207,2207,Southgate Transit Centre Bay G,,53.485087,-113.516118,1EDM,,Ground Level,POINT (-113.516118 53.485087),,
6734,6734,138 Street & 155  Avenue,,53.616205,-113.559803,1EDM,,Ground Level,POINT (-113.559803 53.616205),,
1814,1814,132 Street & 111 Avenue,,53.558797,-113.548902,1EDM,,Ground Level,POINT (-113.548902 53.558797),,
9759,9759,141 Street & Paisley Road SW,,53.41446,-113.56526,1EDM,,Ground Level,POINT (-113.56526 53.41446),,
ODT-99193,99193,39 Street & Charlesworth Drive SW,Edmonton Transit On-Demand Stop,53.426627,-113.400678,1EDM,,Ground Level,POINT (-113.400678 53.426627),,
9078,9078,178 Street & 10 Avenue SW,,53.424623,-113.626687,1EDM,,Ground Level,POINT (-113.626687 53.424623),,
2024,2024,86 Street & 51 Avenue,,53.487222,-113.454192,1EDM,,Ground Level,POINT (-113.454192 53.487222),,
9408,9408,Desrochers Boulevard & Desrochers Gate SW,,53.39876,-113.546235,1EDM,,Ground Level,POINT (-113.546235 53.39876),,
3736,3736,32 Street & 18 Avenue,,53.447385,-113.387901,1EDM,,Ground Level,POINT (-113.387901 53.447385),,
S7707,7707,Jim Common Dr & Crimson Dr,,53.544891,-113.280306,4SCT,,Ground Level,POINT (-113.280306 53.544891),,
2918,2918,50 Street & 68 Avenue,,53.505275,-113.418017,1EDM,,Ground Level,POINT (-113.418017 53.505275),,
ODT-8448,8448,Hope Way & Hope Road,Edmonton Transit On-Demand Stop,53.486419,-113.679363,1EDM,,Ground Level,POINT (-113.679363 53.486419),,
4016,4016,Hanna Crescent E & Haddow Drive,,53.451594,-113.591752,1EDM,,Ground Level,POINT (-113.591752 53.451594),,
A0859,859,Kingswood Dr & Kingsview Point,,53.654042,-113.592566,2STA,,Ground Level,POINT (-113.592566 53.654042),,
4006,4006,Leger Road & Leger Boulevard,,53.460324,-113.575735,1EDM,,Ground Level,POINT (-113.575735 53.460324),,
9676,9676,85 Street & Edwards Drive SW,,53.430116,-113.46386,1EDM,,Ground Level,POINT (-113.46386 53.430116),,
99179,99179,66 Street & 25 Avenue SW,,53.410387,-113.441949,1EDM,,Ground Level,POINT (-113.441949 53.410387),,
ODT-1970,1970,120 Street & 104 Avenue,Edmonton Transit On-Demand Stop,53.545193,-113.528731,1EDM,,Ground Level,POINT (-113.528731 53.545193),,
5148,5148,149 Street & 112 Avenue,,53.560423,-113.577507,1EDM,,Ground Level,POINT (-113.577507 53.560423),,
1114,1114,Kingsway RAH Station,,53.557487,-113.500684,1EDM,Q1759,Station Level,POINT (-113.500684 53.557487),,
33115,33115,66 Street & 34 Avenue,,53.46548,-113.438033,1EDM,,Ground Level,POINT (-113.438033 53.46548),,
4560,4560,Cheriton Crescent & Carter Crest Road,,53.463057,-113.577799,1EDM,,Ground Level,POINT (-113.577799 53.463057),,
3313,3313,102 Street & 17 Avenue,,53.443864,-113.491928,1EDM,,Ground Level,POINT (-113.491928 53.443864),,
9452,9452,141 Street & Ellerslie Road SW,,53.423653,-113.564309,1EDM,,Ground Level,POINT (-113.564309 53.423653),,
2634,2634,106 Street & 70 Avenue,,53.50639,-113.504505,1EDM,,Ground Level,POINT (-113.504505 53.50639),,
6129,6129,105 Street & 132 Avenue,,53.592138,-113.501135,1EDM,,Ground Level,POINT (-113.501135 53.592138),,
3512,3512,Parsons Road & 25 Avenue,,53.454318,-113.479021,1EDM,,Ground Level,POINT (-113.479021 53.454318),,
1644,1644,116 Street & 107 Avenue,,53.55148,-113.521982,1EDM,,Ground Level,POINT (-113.521982 53.55148),,
7752,7752,Miller Boulevard & Matheson Way,,53.610053,-113.41252,1EDM,,Ground Level,POINT (-113.41252 53.610053),,
1452,1452,48 Street & 118 Avenue,,53.570284,-113.414839,1EDM,,Ground Level,POINT (-113.414839 53.570284),,
4518,4518,South Terwillegar Drive & Simpson Drive,,53.436716,-113.58296,1EDM,,Ground Level,POINT (-113.58296 53.436716),,
4778,4778,Lamb Crescent & Leger Way,,53.456698,-113.567655,1EDM,,Ground Level,POINT (-113.567655 53.456698),,
3790,3790,50 Street & 13 Avenue,,53.442805,-113.418471,1EDM,,Ground Level,POINT (-113.418471 53.442805),,
7072,7072,Fort Road & 131 Avenue,,53.590533,-113.432684,1EDM,,Ground Level,POINT (-113.432684 53.590533),,
2780,2780,91 Street & 58 Avenue,,53.493857,-113.466345,1EDM,,Ground Level,POINT (-113.466345 53.493857),,
A0461,461,SWC Ave & Sturgeon Rd,,53.651975,-113.596064,2STA,,Ground Level,POINT (-113.596064 53.651975),,
4206,4206,Century Park Transit Centre Bay F,,53.456886,-113.515457,1EDM,,Ground Level,POINT (-113.515457 53.456886),,
