stop_id,stop_name,latitude,longitude,nearest_library_km
A0010,Oakmont Dr & Oak Vista Dr,53.661431,-113.60611,7.80325145149859
7769,Miller Boulevard & Matheson Way,53.610628,-113.411752,1.2304608663850454
8455,186 Street & 116 Avenue,53.565443,-113.644345,4.912030297012824
S1007,Sherwood Dr & Festival Wy,53.527619,-113.295876,7.961437400559609
7935,19 Street & 147 Avenue,53.610072,-113.36902,2.3773981521373093
L0115,Bridgeport Crossing & 50 Avenue,53.265519,-113.576648,16.012234827857046
2050,61 Street & 94B Avenue,53.533978,-113.426694,0.7718766488870635
2127,96A Street & 98 Avenue,53.537894,-113.477397,1.00206518160373
77185,45 Street & 153 Avenue,53.61583,-113.409423,1.3534014980295055
2910,Bonnie Doon Mall,53.52055,-113.456258,0.3883996001925759
3852,24 Street & 23 Avenue,53.454012,-113.379778,0.7347536969513232
1261,47 Street & 118 Avenue,53.570419,-113.414366,1.5842201264583335
1340,50 Street & 123 Avenue,53.578395,-113.419003,1.9322561739958883
4489,Oeming Road & Oakes Gate,53.466948,-113.571972,0.799789708985726
5295,167 Street & 95 Avenue,53.531556,-113.60971,1.5809595889526487
E148,Stadium TC at 111 Avenue,53.559728,-113.470067,1.370835575043857
ODT-8962,1165 Potter Greens Drive,53.51364,-113.67163,1.1323616546432125
2547,83 Street & 106 Avenue,53.549483,-113.456216,1.9027158132535409
7378,66 Street & Delwood Road,53.595529,-113.443705,0.8902266191929273
7884,Victoria Trail & Hooke Road,53.584042,-113.384925,1.4286035975216698
5540,182 Street & 93 Avenue,53.528331,-113.638873,1.9641610792964492
7462,92 Street & 179 Avenue,53.642138,-113.482308,3.713742183120007
33000,Maple Way & 39 Avenue,53.476639,-113.347986,2.598038567978555
S9023,Nottingham Blvd & Norland Cl,53.515972,-113.280042,8.849482577229008
F5005,Southfort Drive and 84 Street SB,53.684469,-113.230395,13.513132963064834
7208,Belvedere Transit Centre Bay H,53.588048,-113.43504,1.8539388033732724
5336,137 Street & 115 Avenue,53.565259,-113.558414,0.34478436561016174
8512,178 Street & 118 Avenue,53.570002,-113.627408,4.921952956056615
7295,90 Street & 135 Avenue,53.595961,-113.480037,2.415675095402609
5126,156 Street & 107 Avenue,53.550973,-113.589808,2.7744749398310606
6221,105 Street & 129 Avenue,53.587437,-113.501136,2.4910444531466696
4862,Haddow Drive & Haswell Gate S,53.452288,-113.596971,1.9955300368309024
A0225,Woodlands Rd & Wimbleton Cres,53.644089,-113.597646,6.219510721767544
9836,Cunningham Way & Cunningham Way SW,53.405609,-113.531681,0.44350381989095505
F1010,Westpark Way and Westpark Road SB,53.689729,-113.254346,12.447220874153276
4937,Magrath Road & Magrath Boulevard,53.450004,-113.559239,2.6160820482396447
5679,159 Street & Whitemud Drive,53.513355,-113.596809,1.1779817441726699
S1077,Georgian Wy & Glenridge Rd,53.536219,-113.288796,7.811519237917491
4188,106 Street & 21 Avenue,53.452082,-113.503783,3.05002308723666
6707,Hudson Road & 141 Avenue,53.604005,-113.55428,1.6959037045193315
ODT-5318,149 Street & 90 Avenue,53.522813,-113.578068,0.8191666208941012
3167,45 Street & 12 Avenue,53.440308,-113.408505,2.4069453626528694
9686,88 Street & Summerside Grande Boulevard SW,53.417877,-113.467377,4.721266432552904
55116,149 Street & 110 Avenue,53.555471,-113.578235,1.8596259487483415
3720,Windross Crescent E & 37A Avenue,53.472496,-113.37013,1.6688459531518747
5357,149 Street & 118 Avenue,53.570495,-113.579752,1.8720128039979014
6536,97 Street & 153 Avenue,53.613312,-113.492173,1.6411048437742022
E254,Royal Alberta Museum LRT Access,53.54677,-113.488106,0.38028061850867934
6628,134 Street & 150 Avenue,53.612486,-113.550473,2.2685525597004927
A0110,North Ridge Dr & Naples Way,53.645303,-113.671132,10.477982233290197
